楼盘名称,租赁方式,户型,面积,朝向,房租,更新时间,采集时间,城市,区域,街道或片区,地段,地址,公交站,主图链接,楼盘详情链接,页面网址,标签
和平街十四区171 柳芳地铁站旁 精装南北通透两居,整租,2室1厅,56㎡,朝南,7000元/月,,2018-11-02 21:43:13,北京,朝阳,安贞,和平街十四区,朝阳-安贞-和平街十四区,距13号线柳芳站约682米，距地铁柳芳站公交站约542米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_417534425_1.htm,http://zu.fang.com/house-a01-b01121/i322/,交通便利/采光好/周边配套齐
安华西里一区 口8号线 边上精装两居室,整租,2室1厅,65㎡,朝南,6800元/月,,2018-11-02 21:43:19,北京,朝阳,安贞,安华西里,朝阳-安贞-安华西里,距8号线安华桥站约795米，距安贞桥北公交站约633米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_418779144_1.htm,http://zu.fang.com/house-a01-b01121/i323/,交通便利/周边配套齐/全装全配
(可宿舍)安贞地铁 安贞医院 化信大厦 安贞里一区两居室,整租,2室1厅,65㎡,朝西,6500元/月,,2018-11-02 21:43:19,北京,朝阳,安贞,安贞里,朝阳-安贞-安贞里,距10号线安贞门站约560米，距安贞桥北公交站约400米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_419430247_1.htm,http://zu.fang.com/house-a01-b01121/i323/,
安华西里 安华桥 精装修单间出租 看房随时,合租次卧,2户合租,13㎡,朝南,2900元/月,,2018-11-02 21:43:19,北京,朝阳,安贞,安华西里,朝阳-安贞-安华西里,距8号线安华桥站约795米，距安贞桥北公交站约633米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/hezu/3_419468765_1.htm,http://zu.fang.com/house-a01-b01121/i323/,交通便利/采光好/周边配套齐
安华里小区 精装两居室出租,整租,2室1厅,59㎡,朝南,6600元/月,,2018-11-02 21:43:19,北京,朝阳,安贞,安华里,朝阳-安贞-安华里,距安贞桥北公交站约764米。,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_417914612_1.htm,http://zu.fang.com/house-a01-b01121/i323/,交通便利/周边配套齐/全装全配
和平街十二区 化工北中医煤炭大厦 精装朝南一居 婚房装修,整租,1室1厅,35㎡,朝南,6000元/月,,2018-11-02 21:43:19,北京,朝阳,安贞,和平街十四区,朝阳-安贞-和平街十四区,距13号线柳芳站约682米，距地铁柳芳站公交站约542米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_419359344_1.htm,http://zu.fang.com/house-a01-b01121/i323/,交通便利/周边配套齐
安定路 南北通透 精装两居 带电梯 三环 看房方便,整租,2室1厅,70㎡,朝南,7000元/月,,2018-11-02 21:43:19,北京,朝阳,安贞,安定路小区,朝阳-安贞-安定路小区,距10号线安贞门站约617米，距安贞桥北公交站约338米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_419179715_1.htm,http://zu.fang.com/house-a01-b01121/i323/,
北土城 安贞西里二区 观景精装一居室 随时看房 欢迎来电,整租,1室1厅,38㎡,朝南,6700元/月,,2018-11-02 21:43:19,北京,朝阳,安贞,安贞西里,朝阳-安贞-安贞西里,距8号线安华桥站约324米，距安贞桥西公交站约558米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_419352127_1.htm,http://zu.fang.com/house-a01-b01121/i323/,
"家具家电全齐,7000元/月,拎包即住 安华桥边",整租,2室1厅,75㎡,朝南,7000元/月,,2018-11-02 21:43:19,北京,朝阳,安贞,安华西里,朝阳-安贞-安华西里,距8号线安华桥站约795米，距安贞桥北公交站约633米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_419187626_1.htm,http://zu.fang.com/house-a01-b01121/i323/,南北通透/首次出租/全装全配
蒋宅口附近主卧出租随时看房有钥匙看房联系,合租主卧,3户合租,25㎡,朝东,3200元/月,,2018-11-02 21:43:19,北京,朝阳,安贞,安华里,朝阳-安贞-安华里,距安贞桥北公交站约764米。,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/hezu/3_417997910_1.htm,http://zu.fang.com/house-a01-b01121/i323/,交通便利/周边配套齐/首次出租
5号线和平西桥站 环球贸易旁 城市出品大一居,整租,1室1厅,53㎡,朝东,6600元/月,,2018-11-02 21:43:19,北京,朝阳,安贞,城市出品,朝阳-安贞-城市出品,距5号线和平西桥站约549米，距安贞桥北公交站约542米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_419395298_1.htm,http://zu.fang.com/house-a01-b01121/i323/,全装全配/周边配套齐/交通便利
,,,,,,,2018-11-02 21:43:19,北京,朝阳,安贞,,,,,,http://zu.fang.com/house-a01-b01121/i323/,
安贞西里二区2室1厅60平 精装好房 急租,整租,2室1厅,60㎡,朝南,6400元/月,,2018-11-02 21:43:20,北京,朝阳,安贞,安贞西里,朝阳-安贞-安贞西里,距8号线安华桥站约324米，距安贞桥西公交站约558米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_419177830_1.htm,http://zu.fang.com/house-a01-b01121/i323/,交通便利
北土城 安贞西里 精装修 双南向 全明两居 有钥匙 随时看房,整租,2室1厅,65㎡,朝南,7300元/月,,2018-11-02 21:43:20,北京,朝阳,安贞,安贞西里,朝阳-安贞-安贞西里,距8号线安华桥站约324米，距安贞桥西公交站约558米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_419240867_1.htm,http://zu.fang.com/house-a01-b01121/i323/,
北三环 惠新西街南口 富仁名苑 西南精装大两居 业主直租,整租,2室2厅,81㎡,朝南,9000元/月,,2018-11-02 21:43:20,北京,朝阳,安贞,富仁名苑,朝阳-安贞-富仁名苑,距5号线惠新西街南口站约478米，距安贞桥北公交站约810米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_419408727_1.htm,http://zu.fang.com/house-a01-b01121/i323/,首次出租/交通便利/全装全配
"精装修两居室,胜古北里,惠新西街南口,惠新,小关,安贞,樱花",整租,2室1厅,60㎡,朝南,6500元/月,,2018-11-02 21:43:20,北京,朝阳,安贞,胜古北里,朝阳-安贞-胜古北里,距5号线惠新西街南口站约345米，距安贞桥北公交站约926米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_419393239_1.htm,http://zu.fang.com/house-a01-b01121/i323/,交通便利/全装全配/周边配套齐
安华里五区四居出租 客户优先 外馆斜街 京客隆,整租,4室1厅,90㎡,朝南,11000元/月,,2018-11-02 21:43:20,北京,朝阳,安贞,安华里,朝阳-安贞-安华里,距安贞桥北公交站约764米。,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_418912084_1.htm,http://zu.fang.com/house-a01-b01121/i323/,
安贞 安华西里三区 三层 双南两居室 安华桥,整租,2室1厅,65㎡,朝南,6200元/月,,2018-11-02 21:43:20,北京,朝阳,安贞,安华西里,朝阳-安贞-安华西里,距8号线安华桥站约795米，距安贞桥北公交站约633米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_419466652_1.htm,http://zu.fang.com/house-a01-b01121/i323/,全装全配/南北通透/采光好
"安华西里一区安华桥站,舒适三居,随时看房有钥匙",整租,3室1厅,70㎡,朝南,9000元/月,,2018-11-02 21:43:20,北京,朝阳,安贞,安华西里,朝阳-安贞-安华西里,距8号线安华桥站约795米，距安贞桥北公交站约633米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_419287237_1.htm,http://zu.fang.com/house-a01-b01121/i323/,交通便利/周边配套齐/南北通透
地铁10号线安贞门 5号线和平西桥 环球贸易中心 附近主卧出租,合租主卧,4户合租,18㎡,朝南,3000元/月,,2018-11-02 21:43:20,北京,朝阳,安贞,安华里,朝阳-安贞-安华里,距安贞桥北公交站约764米。,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/hezu/3_419435560_1.htm,http://zu.fang.com/house-a01-b01121/i323/,交通便利/周边配套齐/全装全配
北三环 环宇荟 惠新西街南口 国典华园 精装二居 有车位长租,整租,2室1厅,86㎡,朝东,9800元/月,,2018-11-02 21:43:20,北京,朝阳,安贞,国典华园,朝阳-安贞-国典华园,距10号线安贞门站约581米，距安贞桥北公交站约763米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_419292411_1.htm,http://zu.fang.com/house-a01-b01121/i323/,首次出租/全装全配/独门独卫
安华西里三区、安华桥8号线、中装两居室、随时看房随时入住,整租,2室1厅,53㎡,朝南,6500元/月,,2018-11-02 21:43:20,北京,朝阳,安贞,安华西里,朝阳-安贞-安华西里,距8号线安华桥站约795米，距安贞桥北公交站约633米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_418943984_1.htm,http://zu.fang.com/house-a01-b01121/i323/,
"精装主卧带阳台,高楼层视野好采光好!照片实景拍摄!",合租主卧,2户合租,20㎡,朝南,3700元/月,,2018-11-02 21:43:20,北京,朝阳,安贞,外馆东街50号院,朝阳-安贞-外馆东街50号院,距8号线安德里北街站约922米，距安贞桥北公交站约850米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/hezu/3_419178392_1.htm,http://zu.fang.com/house-a01-b01121/i323/,
朝阳 安华里精装两居出租 可长签 8号线江苏广电 柳荫公园,整租,2室1厅,65㎡,朝南,7200元/月,,2018-11-02 21:43:20,北京,朝阳,安贞,安华里,朝阳-安贞-安华里,距安贞桥北公交站约764米。,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_419301187_1.htm,http://zu.fang.com/house-a01-b01121/i323/,采光好/交通便利/周边配套齐
安华西里一区 口8号线 边上精装一居室,整租,1室1厅,40㎡,朝南,6500元/月,,2018-11-02 21:43:20,北京,朝阳,安贞,安华西里,朝阳-安贞-安华西里,距8号线安华桥站约795米，距安贞桥北公交站约633米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_418171054_1.htm,http://zu.fang.com/house-a01-b01121/i323/,交通便利/周边配套齐/全装全配
朝阳安贞安贞里三区 43平米1室1厅1卫,整租㎡,1室1厅,43㎡,,7800元/月,个人房源,2018-11-02 21:43:20,北京,朝阳,安贞,安贞里三区,朝阳-安贞-安贞里三区,,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/1_61161332_-1.htm,http://zu.fang.com/house-a01-b01121/i323/,随时入住
朝阳安贞安贞西里 2户合租30平米,合租主卧,2户合租,30㎡,朝东,2850元/月,个人房源,2018-11-02 21:43:20,北京,朝阳,安贞,安贞西里,朝阳-安贞-安贞西里,距8号线安华桥站约324米，距安贞桥西公交站约558米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/1_61161420_-1.htm,http://zu.fang.com/house-a01-b01121/i323/,性别不限
"个人首租,有正常职业一家人承租价格可谈",整租,4室2厅,145㎡,朝南,13500元/月,个人房源,2018-11-02 21:43:20,北京,朝阳,安贞,胜古南里,朝阳-安贞-胜古南里,距5号线和平西桥站约465米，距安贞桥北公交站约706米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/1_61161260_-1.htm,http://zu.fang.com/house-a01-b01121/i323/,采光好/一家人
"房主直租:安贞桥旁,胜古南里 70平米2室1厅1卫",整租,2室1厅,70㎡,朝南,6300元/月,个人房源,2018-11-02 21:43:20,北京,朝阳,安贞,胜古南里,朝阳-安贞-胜古南里,距5号线和平西桥站约465米，距安贞桥北公交站约706米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/1_61160971_-1.htm,http://zu.fang.com/house-a01-b01121/i323/,采光好/随时入住
朝阳安贞安华里五区 16平米2室,合租次卧,2户合租,16㎡,朝北,2900元/月,个人房源,2018-11-02 21:43:20,北京,朝阳,安贞,安华里五区,朝阳-安贞-安华里五区,,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/1_61160230_-1.htm,http://zu.fang.com/house-a01-b01121/i323/,精装修/随时入住
朝阳安贞朝阳区胜古家园 64平米1室1厅1卫,整租,1室1厅,64㎡,朝东,7500元/月,个人房源,2018-11-02 21:43:21,北京,朝阳,安贞,朝阳区胜古家园,朝阳-安贞-朝阳区胜古家园,,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/1_61159376_-1.htm,http://zu.fang.com/house-a01-b01121/i323/,家电齐全/随时入住
樱花西地铁五号线十号线惠新西街南口站精装修一居室真正拎包入住,整租,1室1厅,43㎡,朝南,5800元/月,个人房源,2018-11-02 21:43:21,北京,朝阳,安贞,寰球之家,朝阳-安贞-寰球之家,距5号线惠新西街南口站约239米，距和平东桥北公交站约677米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/1_61158768_-1.htm,http://zu.fang.com/house-a01-b01121/i323/,精装修/交通便利/一家人
朝阳安贞安华里 49平米1室1厅1卫,整租㎡,1室1厅,49㎡,,6000元/月,个人房源,2018-11-02 21:43:27,北京,朝阳,安贞,安华里,朝阳-安贞-安华里,,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/1_61158325_-1.htm,http://zu.fang.com/house-a01-b01121/i324/,采光好/随时入住
安华西里小区 8号线附近精装合租 主卧 只租女孩,整租,3室1厅,20㎡,朝南,3600元/月,,2018-11-02 21:43:27,北京,朝阳,安贞,安华西里,朝阳-安贞-安华西里,距8号线安华桥站约795米，距安贞桥北公交站约633米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_419403256_1.htm,http://zu.fang.com/house-a01-b01121/i324/,交通便利/全装全配/周边配套齐
安华西里 安华里 北三环 安华桥附近 正规单间出租,整租,3室1厅,15㎡,朝北,2700元/月,,2018-11-02 21:43:27,北京,朝阳,安贞,安华西里,朝阳-安贞-安华西里,距8号线安华桥站约795米，距安贞桥北公交站约633米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_419461750_1.htm,http://zu.fang.com/house-a01-b01121/i324/,交通便利/周边配套齐/采光好
安华桥 安贞西里四区 主卧 南 室,整租,2室1厅,19㎡,朝南,4290元/月,,2018-11-02 21:43:27,北京,朝阳,安贞,安贞西里,朝阳-安贞-安贞西里,距8号线安华桥站约324米，距安贞桥西公交站约558米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_419395050_1.htm,http://zu.fang.com/house-a01-b01121/i324/,
"安华里20平大主卧带阳台,正规向精装修,照片实景拍摄",整租,3室1厅,20㎡,朝南,3400元/月,,2018-11-02 21:43:27,北京,朝阳,安贞,安华里,朝阳-安贞-安华里,距安贞桥北公交站约764米。,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_419438607_1.htm,http://zu.fang.com/house-a01-b01121/i324/,采光好/交通便利/首次出租
安贞里二区主卧室 金瓯大厦 长新大厦化信大厦阳台,整租,3室1厅,25㎡,朝南,3500元/月,,2018-11-02 21:43:27,北京,朝阳,安贞,安贞里,朝阳-安贞-安贞里,距10号线安贞门站约560米，距安贞桥北公交站约400米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_419394516_1.htm,http://zu.fang.com/house-a01-b01121/i324/,交通便利/全装全配/南北通透
安和家园四里 精装修 拎包入住 随时看房 押一付一,整租,3室1厅,23㎡,朝南,1700元/月,,2018-11-02 21:43:27,北京,朝阳,安贞,安和家园,朝阳-安贞-安和家园,距5号线和平西桥站约309米，距安贞桥北公交站约702米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_418155250_1.htm,http://zu.fang.com/house-a01-b01121/i324/,
安和家园四里 精装修 押一付一 随看随住,整租,3室1厅,23㎡,朝南,1700元/月,,2018-11-02 21:43:27,北京,朝阳,安贞,安和家园,朝阳-安贞-安和家园,距5号线和平西桥站约309米，距安贞桥北公交站约702米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_418148810_1.htm,http://zu.fang.com/house-a01-b01121/i324/,
"精装修室内照片,优美的环境,随时看房",整租,3室1厅,22㎡,朝南,3500元/月,,2018-11-02 21:43:27,北京,朝阳,安贞,胜古南里,朝阳-安贞-胜古南里,距5号线和平西桥站约465米，距安贞桥北公交站约706米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_419028993_1.htm,http://zu.fang.com/house-a01-b01121/i324/,交通便利/周边配套齐/采光好
"胜古南里 正规三居室主卧 5号线和平西桥站,出行便利",整租,3室1厅,25㎡,朝南,3500元/月,,2018-11-02 21:43:27,北京,朝阳,安贞,胜古南里,朝阳-安贞-胜古南里,距5号线和平西桥站约465米，距安贞桥北公交站约706米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_419470473_1.htm,http://zu.fang.com/house-a01-b01121/i324/,交通便利/周边配套齐/采光好
,,,,,,,2018-11-02 21:43:27,北京,朝阳,安贞,,,,,,http://zu.fang.com/house-a01-b01121/i324/,
"胜古南里 正规三居室主卧 5号线和平西桥站,出行便利",整租,3室1厅,25㎡,朝南,3500元/月,,2018-11-02 21:43:27,北京,朝阳,安贞,胜古南里,朝阳-安贞-胜古南里,距5号线和平西桥站约465米，距安贞桥北公交站约706米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_419409365_1.htm,http://zu.fang.com/house-a01-b01121/i324/,首次出租/交通便利/全装全配
安华西里北土城 安华桥 安贞里 华联商厦 安贞精装主卧,整租,3室1厅,17㎡,朝南,3100元/月,,2018-11-02 21:43:27,北京,朝阳,安贞,安贞里,朝阳-安贞-安贞里,距10号线安贞门站约560米，距安贞桥北公交站约400米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_419394657_1.htm,http://zu.fang.com/house-a01-b01121/i324/,全装全配/周边配套齐/交通便利
"安贞里一区单间,家电齐全,安贞门地鉄站",整租,3室1厅,24㎡,朝南,2800元/月,,2018-11-02 21:43:27,北京,朝阳,安贞,安贞里,朝阳-安贞-安贞里,距10号线安贞门站约560米，距安贞桥北公交站约400米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_419231239_1.htm,http://zu.fang.com/house-a01-b01121/i324/,全装全配/交通便利/周边配套齐
"精装修室内照片,优美的环境,随时看房",整租,3室1厅,22㎡,朝南,3500元/月,,2018-11-02 21:43:27,北京,朝阳,安贞,胜古南里,朝阳-安贞-胜古南里,距5号线和平西桥站约465米，距安贞桥北公交站约706米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_419466052_1.htm,http://zu.fang.com/house-a01-b01121/i324/,交通便利/周边配套齐/采光好
和平西桥地铁站 和平街十一区 胜古南里精装主卧次卧月底甩租,整租,2室1厅,23㎡,朝南,2800元/月,,2018-11-02 21:43:27,北京,朝阳,安贞,胜古南里,朝阳-安贞-胜古南里,距5号线和平西桥站约465米，距安贞桥北公交站约706米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_419165487_1.htm,http://zu.fang.com/house-a01-b01121/i324/,
北三环、安贞、安华、安华里三区 、南北通透 精装次卧随时看房,整租,3室1厅,15㎡,朝南,3200元/月,,2018-11-02 21:43:28,北京,朝阳,安贞,安华里,朝阳-安贞-安华里,距安贞桥北公交站约764米。,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_418943944_1.htm,http://zu.fang.com/house-a01-b01121/i324/,
安华西里一区 主卧室带大阳台 北三环安华桥 8号线,整租,3室1厅,20㎡,朝南,3500元/月,,2018-11-02 21:43:28,北京,朝阳,安贞,安华西里,朝阳-安贞-安华西里,距8号线安华桥站约795米，距安贞桥北公交站约633米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_418716861_1.htm,http://zu.fang.com/house-a01-b01121/i324/,周边配套齐/交通便利/采光好
"安贞桥,南北三居室,全新家具家电,看房随时",整租,3室1厅,14㎡,朝南,2900元/月,,2018-11-02 21:43:28,北京,朝阳,安贞,胜古南里,朝阳-安贞-胜古南里,距5号线和平西桥站约465米，距安贞桥北公交站约706米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_419231134_1.htm,http://zu.fang.com/house-a01-b01121/i324/,交通便利/全装全配/周边配套齐
安华西里 安华里 北三环 安华桥附近 正规单间出租,整租,3室1厅,15㎡,朝北,2700元/月,,2018-11-02 21:43:28,北京,朝阳,安贞,安华西里,朝阳-安贞-安华西里,距8号线安华桥站约795米，距安贞桥北公交站约633米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_419182746_1.htm,http://zu.fang.com/house-a01-b01121/i324/,交通便利/周边配套齐/采光好
单间 安贞 安华 裕中 华联 十北土城站,整租,3室1厅,15㎡,朝北,2600元/月,,2018-11-02 21:43:28,北京,朝阳,安贞,安贞西里,朝阳-安贞-安贞西里,距8号线安华桥站约324米，距安贞桥西公交站约558米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_418769727_1.htm,http://zu.fang.com/house-a01-b01121/i324/,
安贞 安华西里二区 1号楼 三居 整分皆可 8安华桥,整租,3室1厅,18㎡,朝南,4200元/月,,2018-11-02 21:43:28,北京,朝阳,安贞,安华西里,朝阳-安贞-安华西里,距8号线安华桥站约795米，距安贞桥北公交站约633米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_419355515_1.htm,http://zu.fang.com/house-a01-b01121/i324/,全装全配/南北通透/采光好
安华西里一区主卧 近公交站 业主直租,整租,3室1厅,28㎡,朝南,2550元/月,,2018-11-02 21:43:28,北京,朝阳,安贞,安华西里,朝阳-安贞-安华西里,距8号线安华桥站约795米，距安贞桥北公交站约633米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_419395151_1.htm,http://zu.fang.com/house-a01-b01121/i324/,全装全配/交通便利/南北通透
安华西里三区 口附近 合租单间出租 只限女孩,整租,3室1厅,15㎡,朝南,3100元/月,,2018-11-02 21:43:28,北京,朝阳,安贞,安华西里,朝阳-安贞-安华西里,距8号线安华桥站约795米，距安贞桥北公交站约633米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_418102893_1.htm,http://zu.fang.com/house-a01-b01121/i324/,交通便利/周边配套齐/全装全配
安华里五区主卧 外馆斜街 木偶剧院 人员简单 安华桥,整租,3室1厅,18㎡,朝南,3400元/月,,2018-11-02 21:43:28,北京,朝阳,安贞,安华里,朝阳-安贞-安华里,距安贞桥北公交站约764米。,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_419399606_1.htm,http://zu.fang.com/house-a01-b01121/i324/,采光好/周边配套齐/交通便利
胜古北里两居次卧 好房出租 看房方便 惠新西街南口站,整租,2室1厅,18㎡,朝南,3600元/月,,2018-11-02 21:43:28,北京,朝阳,安贞,胜古北里,朝阳-安贞-胜古北里,距5号线惠新西街南口站约345米，距安贞桥北公交站约926米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_419187082_1.htm,http://zu.fang.com/house-a01-b01121/i324/,交通便利/全装全配/首次出租
安华西里小区 8号线附近精装合租 主卧 只租女孩,整租,3室1厅,20㎡,朝南,3600元/月,,2018-11-02 21:43:28,北京,朝阳,安贞,安华西里,朝阳-安贞-安华西里,距8号线安华桥站约795米，距安贞桥北公交站约633米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_419221195_1.htm,http://zu.fang.com/house-a01-b01121/i324/,交通便利/全装全配/周边配套齐
"胜古南里 正规三居室主卧 5号线和平西桥站,出行便利",整租,3室1厅,25㎡,朝南,3500元/月,,2018-11-02 21:43:28,北京,朝阳,安贞,胜古南里,朝阳-安贞-胜古南里,距5号线和平西桥站约465米，距安贞桥北公交站约706米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_419286632_1.htm,http://zu.fang.com/house-a01-b01121/i324/,交通便利/周边配套齐/采光好
"胜古南里 正规三居室主卧 5号线和平西桥站,出行便利",整租,3室1厅,25㎡,朝南,3500元/月,,2018-11-02 21:43:28,北京,朝阳,安贞,胜古南里,朝阳-安贞-胜古南里,距5号线和平西桥站约465米，距安贞桥北公交站约706米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_419186017_1.htm,http://zu.fang.com/house-a01-b01121/i324/,交通便利/周边配套齐/采光好
安和家园四里 精装修 拎包入住 随时看房 押一付一,整租,3室1厅,23㎡,朝南,1700元/月,,2018-11-02 21:43:28,北京,朝阳,安贞,安和家园,朝阳-安贞-安和家园,距5号线和平西桥站约309米，距安贞桥北公交站约702米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_417515645_1.htm,http://zu.fang.com/house-a01-b01121/i324/,交通便利/周边配套齐/全装全配
安和家园四里 精装修 押一付一 随看随住,整租,3室1厅,23㎡,朝南,1700元/月,,2018-11-02 21:43:28,北京,朝阳,安贞,安和家园,朝阳-安贞-安和家园,距5号线和平西桥站约309米，距安贞桥北公交站约702米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_418155287_1.htm,http://zu.fang.com/house-a01-b01121/i324/,
风林绿洲 带阳台大卧 临北辰 中科院 奥林匹克公园 随时看 租,合租主卧,3户合租,18㎡,朝南,3500元/月,,2018-11-02 21:43:37,北京,朝阳,奥林匹克公园,风林绿洲,朝阳-奥林匹克公园-风林绿洲,距8号线奥林匹克公园站约1021米，距科荟南路西口公交站约858米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/hezu/3_419202639_1.htm,http://zu.fang.com/house-a01-b02652/,交通便利/采光好/全装全配
≮力荐≯重磅推出 国奥村 空房 3+1户型,整租,3室2厅,205㎡,朝南,22000元/月,,2018-11-02 21:43:37,北京,朝阳,奥林匹克公园,国奥村,朝阳-奥林匹克公园-国奥村,距洼里公交站约780米。,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_419079902_1.htm,http://zu.fang.com/house-a01-b02652/,交通便利/南北通透
"紫御华府全新空房出租,钥匙房,同看臻园金茂府",整租,4室3厅,353㎡,朝南,50000元/月,,2018-11-02 21:43:37,北京,朝阳,奥林匹克公园,紫御华府,朝阳-奥林匹克公园-紫御华府,距5号线立水桥南站约431米，距北苑家园西站公交站约597米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_419192198_1.htm,http://zu.fang.com/house-a01-b02652/,
